MAG,LoPthruTP2,Aggregate_Adjusted_popSNP_Count
C029-M00_stoolxbin.39_sub.SR_stool.fasta,3,7.791
C029-M00_stoolxbin.62.SR_stool.fasta,0,0.000
C029-M00_stoolxbin.62.SR_stool.fasta,0.5,0.000
C029-M00_stoolxbin.70.SR_stool.fasta,0,0.000
C029-M00_stoolxbin.70.SR_stool.fasta,3,0.000
C029-M00_stoolxC029-M00_stool.036.SR_stool.fasta,0,0.000
C029-M00_stoolxC029-M00_stool.036.SR_stool.fasta,3,1.691
C029-M00_stoolxC029-M00_stool.039.SR_stool.fasta,0,0.000
C029-M00_stoolxC029-M00_stool.039.SR_stool.fasta,0.5,0.000
C029-M00_stoolxC029-M00_stool.043.SR_stool.fasta,0,0.000
C029-M00_stoolxC029-M00_stool.043.SR_stool.fasta,0.5,0.000
C029-M00_stoolxC029-M00_stool.043.SR_stool.fasta,2,0.000
C029-M00_stoolxC029-M00_stool.043.SR_stool.fasta,3,0.000
C029-M00_stoolxC029-M00_stool.067.SR_stool.fasta,0,0.000
C029-M00_stoolxC029-M00_stool.067.SR_stool.fasta,0.5,0.000
C029-M00x29.LR_stool.fasta,0,0.000
C029-M00x29.LR_stool.fasta,0.5,0.910
